"DateTime","Embodied cognition[en]","Cognitive science[en]","Cognition[en]"
"2008-09-06 00:00:00",28,533,1471
"2008-09-07 00:00:00",33,588,1997
"2008-09-08 00:00:00",32,802,2936
"2008-09-09 00:00:00",19,849,2803
"2008-09-10 00:00:00",30,785,3005
"2008-09-11 00:00:00",38,781,2989
"2008-09-12 00:00:00",35,603,2273
"2008-09-13 00:00:00",48,509,1595
"2008-09-14 00:00:00",40,606,2190
"2008-09-15 00:00:00",54,785,2971
"2008-09-16 00:00:00",44,806,3096
"2008-09-17 00:00:00",40,762,2770
"2008-09-18 00:00:00",53,801,1661
"2008-09-19 00:00:00",31,684,1079
"2008-09-20 00:00:00",35,503,820
"2008-09-21 00:00:00",55,665,1320
"2008-09-22 00:00:00",51,847,1398
"2008-09-23 00:00:00",45,878,1415
"2008-09-24 00:00:00",49,840,2147
"2008-09-25 00:00:00",32,797,1762
"2008-09-26 00:00:00",41,653,1079
"2008-09-27 00:00:00",30,464,786
"2008-09-28 00:00:00",39,594,854
"2008-09-29 00:00:00",35,819,1213
"2008-09-30 00:00:00",57,729,2089
"2008-10-01 00:00:00",67,790,2775
"2008-10-02 00:00:00",55,783,2783
"2008-10-03 00:00:00",60,699,1781
"2008-10-04 00:00:00",52,552,766
"2008-10-05 00:00:00",41,625,851
"2008-10-06 00:00:00",227,876,1278
"2008-10-07 00:00:00",51,777,1432
"2008-10-08 00:00:00",44,721,1197
"2008-10-09 00:00:00",56,845,1036
"2008-10-10 00:00:00",53,666,803
"2008-10-11 00:00:00",26,612,651
"2008-10-12 00:00:00",38,721,1409
"2008-10-13 00:00:00",76,922,2669
"2008-10-14 00:00:00",68,889,2693
"2008-10-15 00:00:00",43,825,2950
"2008-10-16 00:00:00",67,749,2865
"2008-10-17 00:00:00",63,738,1748
"2008-10-18 00:00:00",39,622,708
"2008-10-19 00:00:00",51,784,857
"2008-10-20 00:00:00",63,827,1129
"2008-10-21 00:00:00",22,362,500
"2008-10-22 00:00:00",37,425,581
"2008-10-23 00:00:00",42,742,1134
"2008-10-24 00:00:00",45,731,1363
"2008-10-25 00:00:00",44,571,1553
"2008-10-26 00:00:00",43,680,1979
"2008-10-27 00:00:00",60,796,2994
"2008-10-28 00:00:00",47,854,3063
"2008-10-29 00:00:00",64,920,2849
"2008-10-30 00:00:00",55,757,2778
"2008-10-31 00:00:00",41,672,2147
"2008-11-01 00:00:00",28,525,1531
"2008-11-02 00:00:00",44,690,1920
"2008-11-03 00:00:00",62,853,3030
"2008-11-04 00:00:00",57,800,2898
"2008-11-05 00:00:00",51,659,2585
"2008-11-06 00:00:00",65,773,2838
"2008-11-07 00:00:00",41,745,2374
"2008-11-08 00:00:00",67,639,1694
"2008-11-09 00:00:00",56,682,1989
"2008-11-10 00:00:00",75,788,2809
"2008-11-11 00:00:00",72,802,2683
"2008-11-12 00:00:00",93,850,2981
"2008-11-13 00:00:00",68,791,2525
"2008-11-14 00:00:00",106,674,1786
"2008-11-15 00:00:00",62,613,750
"2008-11-16 00:00:00",55,736,858
"2008-11-17 00:00:00",67,924,1080
"2008-11-18 00:00:00",80,831,1867
"2008-11-19 00:00:00",53,806,2272
"2008-11-20 00:00:00",52,793,2095
"2008-11-21 00:00:00",66,702,1879
"2008-11-22 00:00:00",43,600,1272
"2008-11-23 00:00:00",63,797,1607
"2008-11-24 00:00:00",79,875,2436
"2008-11-25 00:00:00",66,799,1820
"2008-11-26 00:00:00",68,775,807
"2008-11-27 00:00:00",72,695,720
"2008-11-28 00:00:00",62,690,807
"2008-11-29 00:00:00",54,700,746
"2008-11-30 00:00:00",69,762,954
"2008-12-01 00:00:00",68,841,1171
"2008-12-02 00:00:00",55,860,1269
"2008-12-03 00:00:00",93,898,2187
"2008-12-04 00:00:00",98,770,2789
"2008-12-05 00:00:00",53,782,2133
"2008-12-06 00:00:00",54,597,1635
"2008-12-07 00:00:00",52,676,1795
"2008-12-08 00:00:00",62,830,2597
"2008-12-09 00:00:00",112,791,2559
"2008-12-10 00:00:00",64,777,1296
"2008-12-11 00:00:00",62,831,937
"2008-12-12 00:00:00",76,720,1922
"2008-12-13 00:00:00",60,611,1453
"2008-12-14 00:00:00",64,652,1653
"2008-12-15 00:00:00",73,740,2313
"2008-12-16 00:00:00",64,703,2412
"2008-12-17 00:00:00",60,695,2186
"2008-12-18 00:00:00",59,689,1998
"2008-12-19 00:00:00",65,541,1574
"2008-12-20 00:00:00",28,489,947
"2008-12-21 00:00:00",27,493,1112
"2008-12-22 00:00:00",40,591,1303
"2008-12-23 00:00:00",32,617,1264
"2008-12-24 00:00:00",18,483,988
"2008-12-25 00:00:00",34,379,726
"2008-12-26 00:00:00",18,460,825
"2008-12-27 00:00:00",20,523,859
"2008-12-28 00:00:00",22,441,1018
"2008-12-29 00:00:00",31,609,1200
"2008-12-30 00:00:00",57,549,1157
"2008-12-31 00:00:00",18,536,1126
"2009-01-01 00:00:00",35,363,800
"2009-01-02 00:00:00",56,542,1283
"2009-01-03 00:00:00",41,454,1280
"2009-01-04 00:00:00",43,437,1463
"2009-01-05 00:00:00",66,714,1805
"2009-01-06 00:00:00",38,726,1817
"2009-01-07 00:00:00",72,713,1999
"2009-01-08 00:00:00",57,701,2237
"2009-01-09 00:00:00",52,714,1747
"2009-01-10 00:00:00",39,559,1520
"2009-01-11 00:00:00",52,606,1902
"2009-01-12 00:00:00",56,793,2576
"2009-01-13 00:00:00",83,839,2577
"2009-01-14 00:00:00",59,767,2508
"2009-01-15 00:00:00",58,806,2492
"2009-01-16 00:00:00",53,728,2256
"2009-01-17 00:00:00",45,601,1557
"2009-01-18 00:00:00",69,636,1861
"2009-01-19 00:00:00",89,773,2518
"2009-01-20 00:00:00",130,727,2791
"2009-01-21 00:00:00",50,879,2701
"2009-01-22 00:00:00",51,787,2811
"2009-01-23 00:00:00",60,749,2311
"2009-01-24 00:00:00",42,625,1659
"2009-01-25 00:00:00",69,616,1878
"2009-01-26 00:00:00",71,736,2606
"2009-01-27 00:00:00",53,865,2814
"2009-01-28 00:00:00",91,887,2821
"2009-01-29 00:00:00",76,816,2944
"2009-01-30 00:00:00",46,738,2431
"2009-01-31 00:00:00",57,474,1729
"2009-02-01 00:00:00",63,714,2079
"2009-02-02 00:00:00",65,817,2740
"2009-02-03 00:00:00",94,787,2836
"2009-02-04 00:00:00",61,845,2831
"2009-02-05 00:00:00",71,802,1716
"2009-02-06 00:00:00",57,786,1190
"2009-02-07 00:00:00",44,606,940
"2009-02-08 00:00:00",60,676,854
"2009-02-09 00:00:00",63,825,1029
"2009-02-10 00:00:00",64,927,1075
"2009-02-11 00:00:00",75,943,1096
"2009-02-12 00:00:00",88,792,952
"2009-02-13 00:00:00",75,744,819
"2009-02-14 00:00:00",64,567,628
"2009-02-15 00:00:00",72,617,1032
"2009-02-16 00:00:00",63,805,2692
"2009-02-17 00:00:00",81,864,3022
"2009-02-18 00:00:00",77,892,2200
"2009-02-19 00:00:00",70,849,1371
"2009-02-20 00:00:00",76,728,1266
"2009-02-21 00:00:00",62,633,934
"2009-02-22 00:00:00",64,681,939
"2009-02-23 00:00:00",125,882,978
"2009-02-24 00:00:00",93,936,1038
"2009-02-25 00:00:00",92,901,1065
"2009-02-26 00:00:00",137,840,1024
"2009-02-27 00:00:00",108,748,955
"2009-02-28 00:00:00",61,667,742
"2009-03-01 00:00:00",85,679,787
"2009-03-02 00:00:00",138,906,1051
"2009-03-03 00:00:00",105,844,1038
"2009-03-04 00:00:00",114,912,1038
"2009-03-05 00:00:00",74,874,1011
"2009-03-06 00:00:00",71,801,932
"2009-03-07 00:00:00",69,617,701
"2009-03-08 00:00:00",64,632,1590
"2009-03-09 00:00:00",93,827,3092
"2009-03-10 00:00:00",95,981,2810
"2009-03-11 00:00:00",119,903,3196
"2009-03-12 00:00:00",94,795,2741
"2009-03-13 00:00:00",88,845,2287
"2009-03-14 00:00:00",73,643,1845
"2009-03-15 00:00:00",71,694,2102
"2009-03-16 00:00:00",127,879,2911
"2009-03-17 00:00:00",82,906,2867
"2009-03-18 00:00:00",94,841,2850
"2009-03-19 00:00:00",86,798,2708
"2009-03-20 00:00:00",92,769,2179
"2009-03-21 00:00:00",62,674,1507
"2009-03-22 00:00:00",68,658,1856
"2009-03-23 00:00:00",88,868,2703
"2009-03-24 00:00:00",80,884,2978
"2009-03-25 00:00:00",101,739,2281
"2009-03-26 00:00:00",79,757,2490
"2009-03-27 00:00:00",88,767,2377
"2009-03-28 00:00:00",68,572,1679
"2009-03-29 00:00:00",58,695,2091
"2009-03-30 00:00:00",122,859,2779
"2009-03-31 00:00:00",74,826,2832
"2009-04-01 00:00:00",71,774,2287
"2009-04-02 00:00:00",113,846,2797
"2009-04-03 00:00:00",69,709,2177
"2009-04-04 00:00:00",63,595,1675
"2009-04-05 00:00:00",44,588,1800
"2009-04-06 00:00:00",124,785,2672
"2009-04-07 00:00:00",65,790,2711
"2009-04-08 00:00:00",84,836,2762
"2009-04-09 00:00:00",75,748,2404
"2009-04-10 00:00:00",54,594,1770
"2009-04-11 00:00:00",51,566,1473
"2009-04-12 00:00:00",69,541,1577
"2009-04-13 00:00:00",82,826,2469
"2009-04-14 00:00:00",101,859,2867
"2009-04-15 00:00:00",97,886,2768
"2009-04-16 00:00:00",68,817,2724
"2009-04-17 00:00:00",73,688,2266
"2009-04-18 00:00:00",69,570,1640
"2009-04-19 00:00:00",66,652,1880
"2009-04-20 00:00:00",108,733,2641
"2009-04-21 00:00:00",84,794,2763
"2009-04-22 00:00:00",90,754,2463
"2009-04-23 00:00:00",147,748,2835
"2009-04-24 00:00:00",108,668,2177
"2009-04-25 00:00:00",90,603,1721
"2009-04-26 00:00:00",119,610,2027
"2009-04-27 00:00:00",147,748,2781
"2009-04-28 00:00:00",121,761,2528
"2009-04-29 00:00:00",114,721,2780
"2009-04-30 00:00:00",124,788,2589
"2009-05-01 00:00:00",84,625,2112
"2009-05-02 00:00:00",82,509,1791
"2009-05-03 00:00:00",89,561,1968
"2009-05-04 00:00:00",164,857,2732
"2009-05-05 00:00:00",128,756,2852
"2009-05-06 00:00:00",114,830,2726
"2009-05-07 00:00:00",96,760,2618
"2009-05-08 00:00:00",80,734,2176
"2009-05-09 00:00:00",75,553,1676
"2009-05-10 00:00:00",81,580,1974
"2009-05-11 00:00:00",124,836,2873
"2009-05-12 00:00:00",105,882,3090
"2009-05-13 00:00:00",120,763,2952
"2009-05-14 00:00:00",91,764,2811
"2009-05-15 00:00:00",101,707,2269
"2009-05-16 00:00:00",60,563,1625
"2009-05-17 00:00:00",67,700,1828
"2009-05-18 00:00:00",96,702,2571
"2009-05-19 00:00:00",115,738,2725
"2009-05-20 00:00:00",90,724,2494
"2009-05-21 00:00:00",86,739,2511
"2009-05-22 00:00:00",89,708,1897
"2009-05-23 00:00:00",78,509,1377
"2009-05-24 00:00:00",89,570,1469
"2009-05-25 00:00:00",103,712,2013
"2009-05-26 00:00:00",118,849,2437
"2009-05-27 00:00:00",73,735,2336
"2009-05-28 00:00:00",83,821,2477
"2009-05-29 00:00:00",63,669,1836
"2009-05-30 00:00:00",61,555,1340
"2009-05-31 00:00:00",83,599,1621
"2009-06-01 00:00:00",92,789,2203
"2009-06-02 00:00:00",107,711,2379
"2009-06-03 00:00:00",88,770,2285
"2009-06-04 00:00:00",95,749,2145
"2009-06-05 00:00:00",65,685,1872
"2009-06-06 00:00:00",50,426,1413
"2009-06-07 00:00:00",110,635,1611
"2009-06-08 00:00:00",111,735,2389
"2009-06-09 00:00:00",144,740,2365
"2009-06-10 00:00:00",100,686,2268
"2009-06-11 00:00:00",76,650,2170
"2009-06-12 00:00:00",70,572,1807
"2009-06-13 00:00:00",53,474,1357
"2009-06-14 00:00:00",59,575,1577
"2009-06-15 00:00:00",66,676,2304
"2009-06-16 00:00:00",103,713,2259
"2009-06-17 00:00:00",59,680,2440
"2009-06-18 00:00:00",83,738,2102
"2009-06-19 00:00:00",115,637,1834
"2009-06-20 00:00:00",58,593,1245
"2009-06-21 00:00:00",67,552,1572
"2009-06-22 00:00:00",117,723,2174
"2009-06-23 00:00:00",108,763,2172
"2009-06-24 00:00:00",117,671,2157
"2009-06-25 00:00:00",93,662,2069
"2009-06-26 00:00:00",69,611,1585
"2009-06-27 00:00:00",42,612,1264
"2009-06-28 00:00:00",43,560,1435
"2009-06-29 00:00:00",86,867,1936
"2009-06-30 00:00:00",61,734,2027
"2009-07-01 00:00:00",77,805,1836
"2009-07-02 00:00:00",57,694,1875
"2009-07-03 00:00:00",52,581,1462
"2009-07-04 00:00:00",42,429,1100
"2009-07-05 00:00:00",60,476,1352
"2009-07-06 00:00:00",70,692,2005
"2009-07-07 00:00:00",77,719,1905
"2009-07-08 00:00:00",62,684,2032
"2009-07-09 00:00:00",106,711,1876
"2009-07-10 00:00:00",67,630,1699
"2009-07-11 00:00:00",46,444,1263
"2009-07-12 00:00:00",68,564,1493
"2009-07-13 00:00:00",70,665,2084
"2009-07-14 00:00:00",75,754,2073
"2009-07-15 00:00:00",83,627,2000
"2009-07-16 00:00:00",59,627,1780
"2009-07-17 00:00:00",48,631,1717
"2009-07-18 00:00:00",72,510,1331
"2009-07-19 00:00:00",79,558,1469
"2009-07-20 00:00:00",61,729,1970
"2009-07-21 00:00:00",65,687,2047
"2009-07-22 00:00:00",87,712,2025
"2009-07-23 00:00:00",60,751,1973
"2009-07-24 00:00:00",59,654,1553
"2009-07-25 00:00:00",56,528,1150
"2009-07-26 00:00:00",64,539,1452
"2009-07-27 00:00:00",82,724,2009
"2009-07-28 00:00:00",70,738,2097
"2009-07-29 00:00:00",66,730,2109
"2009-07-30 00:00:00",65,670,2293
"2009-07-31 00:00:00",63,655,1724
"2009-08-01 00:00:00",47,485,1170
"2009-08-02 00:00:00",56,546,1396
"2009-08-03 00:00:00",62,669,2064
"2009-08-04 00:00:00",97,742,2151
"2009-08-05 00:00:00",86,634,1912
"2009-08-06 00:00:00",87,732,1925
"2009-08-07 00:00:00",71,669,1699
"2009-08-08 00:00:00",40,484,1214
"2009-08-09 00:00:00",68,538,1457
"2009-08-10 00:00:00",97,754,2173
"2009-08-11 00:00:00",105,712,2070
"2009-08-12 00:00:00",94,681,1994
"2009-08-13 00:00:00",67,646,1943
"2009-08-14 00:00:00",82,603,1601
"2009-08-15 00:00:00",51,460,1232
"2009-08-16 00:00:00",50,514,1428
"2009-08-17 00:00:00",71,709,1971
"2009-08-18 00:00:00",69,772,1983
"2009-08-19 00:00:00",86,773,2100
"2009-08-20 00:00:00",86,698,2094
"2009-08-21 00:00:00",76,707,1792
"2009-08-22 00:00:00",70,551,1318
"2009-08-23 00:00:00",47,550,1531
"2009-08-24 00:00:00",91,893,2110
"2009-08-25 00:00:00",70,773,2491
"2009-08-26 00:00:00",96,822,2473
"2009-08-27 00:00:00",84,811,2407
"2009-08-28 00:00:00",99,678,2047
"2009-08-29 00:00:00",60,628,1454
"2009-08-30 00:00:00",57,615,1804
"2009-08-31 00:00:00",110,787,2428
"2009-09-01 00:00:00",91,921,2646
"2009-09-02 00:00:00",130,932,2790
"2009-09-03 00:00:00",124,963,2795
"2009-09-04 00:00:00",82,742,2287
"2009-09-05 00:00:00",90,594,1671
"2009-09-06 00:00:00",85,638,1978
"2009-09-07 00:00:00",118,838,2449
"2009-09-08 00:00:00",115,1010,3068
"2009-09-09 00:00:00",114,1004,3171
"2009-09-10 00:00:00",107,929,3115
"2009-09-11 00:00:00",123,797,2581
"2009-09-12 00:00:00",70,611,1725
"2009-09-13 00:00:00",84,1040,2322
"2009-09-14 00:00:00",90,941,3406
"2009-09-15 00:00:00",121,915,3302
"2009-09-16 00:00:00",113,884,3419
"2009-09-17 00:00:00",106,883,3247
"2009-09-18 00:00:00",90,733,2519
"2009-09-19 00:00:00",80,611,1616
"2009-09-20 00:00:00",80,655,2218
"2009-09-21 00:00:00",66,457,1809
"2009-09-22 00:00:00",0,0,0
"2009-09-23 00:00:00",0,0,0
"2009-09-24 00:00:00",0,0,0
"2009-09-25 00:00:00",0,0,0
"2009-09-26 00:00:00",0,0,0
